symbol,max_return_factor,start_price,end_price,return_start_date,return_end_date,return_period_days
EVI,15.44,2.98,46.02,2016-03-11,2018-08-24,895
GPI,15.42,31.35,483.54,2020-03-18,2025-02-13,1793
CRSP,15.42,13.62,210.04,2017-05-31,2021-01-14,1324
BOOM,15.34,4.88,74.88,2016-01-19,2019-06-05,1232
RILY,15.34,4.59,70.35,2016-07-07,2021-12-29,2001
ON,15.33,7.05,108.09,2016-02-11,2023-08-01,2727
SNPS,15.33,40.53,621.3,2016-01-13,2024-07-05,3095
GLOB,15.32,23.13,354.44,2016-02-12,2021-11-09,2097
NXL,15.3,0.28,4.36,2023-10-24,2024-12-06,409
CDIO,15.3,6.0,91.8,2023-10-25,2024-01-02,69
OBLG,15.29,372.68,5700.0,2019-08-21,2020-11-30,467
IMPP,15.29,7.36,112.5,2022-02-18,2022-03-07,17
RDW,15.27,1.68,25.66,2022-12-28,2025-02-13,778
BYRN,15.26,2.24,34.19,2023-09-29,2025-02-10,500
ASML,15.26,71.37,1089.33,2016-01-15,2024-07-10,3098
FRHC,15.26,12.0,183.07,2020-03-18,2025-05-20,1889
CTRN,15.23,7.12,108.45,2020-04-03,2021-04-23,385
IHT,15.21,0.73,11.13,2020-05-13,2021-06-08,391
TRVI,15.2,0.46,6.99,2022-02-23,2025-05-02,1163
YRD,15.19,3.21,48.78,2016-02-11,2017-10-18,614
MPC,15.17,14.14,214.57,2020-03-23,2024-04-05,1474
PIIIW,15.16,0.03,0.47,2023-03-22,2023-06-06,76
NUVL,15.16,7.4,112.17,2022-05-16,2024-09-16,854
AMRK,15.11,3.04,45.96,2020-01-28,2024-09-13,1689
CDLX,15.11,10.4,157.18,2018-12-21,2021-02-12,784
PXSAW,15.11,0.13,2.01,2022-01-27,2023-03-03,400
VOC,15.08,0.65,9.82,2016-01-19,2023-01-20,2558
WAVE,15.06,1.04,15.64,2024-03-27,2024-12-11,259
BELFB,15.06,6.06,91.19,2020-04-23,2024-12-17,1699
RMBL,15.05,3.82,57.5,2020-03-16,2021-03-15,364
EVER,15.02,4.18,62.79,2018-12-31,2020-07-09,555
