symbol,max_return_factor,start_price,end_price,return_start_date,return_end_date,return_period_days,marketCap,industry
NEUP,34.68,0.19,6.63,2024-11-04,2024-12-24,50,18715236.0,Biotechnology
VRNA,34.6,2.16,74.73,2020-03-18,2025-05-20,1889,6296086016.0,Biotechnology
RDZNW,34.53,0.01,0.2,2022-11-01,2024-12-23,783,,Software - Application
ANNAW,34.46,0.01,0.51,2024-02-22,2025-04-16,418,,Oil & Gas E&P
UONE,34.25,1.06,36.3,2020-04-08,2020-06-19,72,41151840.0,Broadcasting
GREEL,34.17,0.28,9.73,2022-12-22,2024-06-11,536,,
BLDP,34.16,1.2,40.99,2016-01-20,2021-02-08,1846,392781216.0,Specialty Industrial Machinery
BSLKW,34.02,0.01,0.23,2022-12-29,2024-03-25,451,,Specialty Chemicals
ARGX,33.99,19.77,671.74,2017-06-26,2025-02-05,2781,35716812800.0,Biotechnology
FIVN,33.82,6.2,209.7,2016-02-12,2021-08-04,1999,1945698688.0,Software - Infrastructure
XYZ,33.67,8.37,281.81,2016-02-08,2021-08-05,2004,34096652288.0,Software - Infrastructure
UUU,33.59,0.33,11.1,2020-03-24,2021-02-10,323,5666580.0,Security & Protection Services
LXU,33.42,0.8,26.74,2020-07-14,2022-04-19,644,513927712.0,Chemicals
CRDF,33.4,0.74,24.71,2020-03-18,2020-11-30,257,192925120.0,Biotechnology
CVM,33.31,24.89,829.2,2018-08-07,2021-02-01,909,410578240.0,Biotechnology
VUZI,33.23,0.92,30.57,2020-03-16,2021-04-08,388,179932064.0,Consumer Electronics
CHGG,32.71,3.47,113.51,2016-02-23,2021-02-12,1816,104449256.0,Education & Training Services
TOIIW,32.65,0.01,0.17,2024-12-31,2025-04-24,113,,Medical Care Facilities
UAN,32.54,3.12,101.41,2020-03-18,2022-04-19,762,875797056.0,Agricultural Inputs
NRP,32.19,3.38,108.83,2016-01-20,2025-03-19,3345,1254688512.0,Thermal Coal
ADSEW,32.14,0.14,4.5,2023-05-10,2025-01-28,629,,Electrical Equipment & Parts
CCLD,32.13,0.39,12.53,2017-04-13,2020-08-10,1215,85911832.0,Health Information Services
UHGWW,32.12,0.04,1.28,2022-11-10,2024-04-26,532,,
VERI,32.12,1.52,48.83,2020-03-16,2021-02-09,330,75188368.0,Software - Infrastructure
PHUN,32.09,480.5,15420.0,2018-12-04,2019-02-01,59,58091620.0,Software - Application
BLDR,32.04,6.59,211.12,2016-02-11,2024-03-21,2960,11977615360.0,Building Products & Equipment
GNPX,31.89,9.62,306.8,2019-12-24,2021-02-08,412,7737048.0,Biotechnology
STAA,31.77,5.12,162.68,2016-05-16,2021-09-07,1940,913756608.0,Medical Instruments & Supplies
HNRG,31.7,0.62,19.5,2020-09-23,2025-05-21,1701,833738240.0,Thermal Coal
DECK,31.67,7.04,223.11,2016-01-19,2025-01-30,3299,18722840576.0,Footwear & Accessories
AMC,31.58,12.55,396.33,2021-01-05,2021-06-02,147,1269111936.0,Entertainment
BOOT,31.56,5.53,174.52,2016-02-02,2025-01-30,3285,4815817216.0,Apparel Retail
FRPT,31.54,5.86,184.82,2016-02-02,2021-04-30,1913,4168003072.0,Packaged Foods
SKY,31.53,3.46,108.92,2016-01-04,2024-12-11,3264,5012222976.0,Residential Construction
EXAS,31.38,4.94,155.01,2016-03-01,2021-02-12,1809,10731615232.0,Diagnostics & Research
