symbol,max_return_factor,start_price,end_price,return_start_date,return_end_date,return_period_days,marketCap,industry
FUTU,22.9,8.15,186.63,2020-03-23,2021-02-16,330,15202306048.0,Capital Markets
XENE,22.75,2.2,50.04,2017-11-14,2024-02-09,2278,2337305344.0,Biotechnology
MDB,22.71,25.76,585.03,2017-12-08,2021-11-16,1439,15020534784.0,Software - Infrastructure
LSCC,22.51,4.32,97.26,2016-02-11,2023-08-31,2757,6399622656.0,Semiconductors
ADMA,22.49,1.09,24.51,2021-10-11,2025-04-28,1295,4803328512.0,Biotechnology
UEC,22.38,0.38,8.6,2020-03-12,2024-11-19,1713,2255130368.0,Uranium
WIX,22.28,15.85,353.09,2016-02-09,2021-02-19,1837,8480493568.0,Software - Infrastructure
NRG,22.15,7.28,161.24,2016-01-25,2025-05-19,3401,30395940864.0,Utilities - Independent Power Producers
HIMS,22.1,3.11,68.74,2022-05-11,2025-02-19,1015,12982255616.0,Household & Personal Products
LRN,21.96,7.32,160.72,2016-01-13,2025-05-05,3399,6784412160.0,Education & Training Services
QDEL,21.77,13.87,301.96,2016-02-18,2020-08-05,1629,2000374272.0,Medical Devices
PLTR,21.7,6.0,130.18,2022-12-27,2025-05-14,868,284557934592.0,Software - Infrastructure
RYTM,21.58,3.12,67.33,2022-05-19,2024-11-08,904,3970617856.0,Biotechnology
PI,21.55,11.07,238.58,2018-02-16,2024-10-14,2431,3406093824.0,Semiconductors
APO,21.44,8.28,177.47,2016-02-11,2024-12-11,3226,74682834944.0,Asset Management
WES,21.34,1.92,40.96,2020-04-02,2025-01-21,1755,14677276672.0,Oil & Gas Midstream
PWR,21.09,16.97,357.89,2016-02-11,2025-01-24,3270,50569949184.0,Engineering & Construction
RUN,20.84,4.63,96.5,2016-11-02,2021-01-08,1528,2435660800.0,Solar
URI,20.75,42.14,874.32,2016-02-11,2024-11-06,3191,45226303488.0,Rental & Leasing Services
SSL,20.7,1.21,25.03,2020-03-23,2022-06-08,807,2853845504.0,Specialty Chemicals
MEDP,20.62,22.18,457.29,2017-05-03,2024-07-16,2631,8500902912.0,Diagnostics & Research
BLD,20.58,23.28,479.09,2016-02-11,2024-07-30,3091,8000016384.0,Engineering & Construction
PAR,20.39,4.35,88.71,2016-05-31,2021-02-22,1728,2666355200.0,Software - Application
MTCH,20.25,8.57,173.44,2016-02-09,2021-10-21,2080,7194901504.0,Internet Content & Information
SITM,20.18,16.6,334.98,2019-12-02,2021-12-08,737,4770888192.0,Semiconductors
LRCX,19.89,5.62,111.74,2016-02-11,2024-07-10,3071,105898344448.0,Semiconductor Equipment & Materials
HRI,19.87,11.96,237.59,2020-03-18,2024-11-06,1694,3567886848.0,Rental & Leasing Services
SIG,19.38,5.56,107.66,2020-03-23,2024-05-31,1530,2607002880.0,Luxury Goods
AROC,19.37,1.54,29.89,2020-03-18,2025-01-21,1770,4345965056.0,Oil & Gas Equipment & Services
RRR,19.33,3.1,59.96,2020-03-18,2024-04-03,1477,4596748288.0,Resorts & Casinos
KNTK,19.29,3.34,64.5,2020-10-19,2025-01-21,1555,2702522112.0,Oil & Gas Midstream
ASTS,19.2,2.01,38.6,2024-04-02,2024-08-19,139,7820768256.0,Communication Equipment
TWLO,19.14,23.17,443.49,2017-05-09,2021-02-18,1381,17488807936.0,Software - Infrastructure
ONTO,18.85,12.63,238.04,2016-02-18,2024-07-16,3070,4624486400.0,Semiconductor Equipment & Materials
GNRC,18.55,27.26,505.8,2016-01-25,2021-11-01,2106,7259356160.0,Specialty Industrial Machinery
